"Address","Errors","Warnings","Total Types","Unique Types","Type-1","Type-2","Type-3","Type-4","Type-5","Type-6","Indexability","Indexability Status"
"https://www.bettersleep.com/es/blog/cinco-consejos-de-conciencia-plena-para-acabar-con-el-estrés-y-la-ansiedad/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/es/blog/los-3-hábitos-que-no-te-dejan-dormir-por-la-noche-y-cómo-cambiarlos/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/es/blog/sueños-lúcidos-qué-son-y-cómo-generarlos/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/es/blog/cuánto-necesitas-dormir-en-verdad/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/es/blog/guía-rápida-de-la-siesta-breve-perfecta/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/es/blog/relajación/","0","0","1","1","website","","","","","","Indexable",""
"https://www.bettersleep.com/es/blog/qué-hace-el-cerebro-cuando-dormimos/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/how-to-get-the-most-out-of-your-sounds-with-smart-mix/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/improve-your-mood-with-these-5-sound-mixes/","0","3","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/the-solfeggio-frequency-for-rejuvenation-285-hz/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/meet-the-team-12-questions-with-a-sound-designer/","0","3","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
